Id_vente;Id_bien;Date mutation;Valeur fonciere;Id_codedep_codecommune
316;316;04/02/2020;61000;4070
317;317;10/02/2020;44585;4070
319;319;23/01/2020;71000;4189
321;321;05/02/2020;75000;4145
323;323;13/02/2020;52800;4073
324;324;14/02/2020;57000;4070
329;329;07/02/2020;62500;4209
330;330;14/02/2020;52500;4209
333;333;12/02/2020;150500;4112
334;334;12/02/2020;201500;4088
336;336;21/02/2020;270200;4112
337;337;29/01/2020;128014.89;4019
338;338;13/02/2020;90000;4088
339;339;25/02/2020;68730;4094
341;341;22/02/2020;44000;4166
342;342;04/02/2020;37000;4209
343;343;08/02/2020;67500;4088
345;345;06/02/2020;52300;4226
347;347;11/02/2020;80000;4209
349;349;21/02/2020;146200;4151
351;351;07/02/2020;88000;4070
352;352;26/02/2020;77000;4143
353;353;29/02/2020;63500;4094
354;354;25/02/2020;58000;4112
355;355;26/02/2020;230000;4094
356;356;24/02/2020;135700;4070
357;357;27/02/2020;76000;4094
358;358;14/02/2020;61400;4112
359;359;27/02/2020;44000;4088
361;361;14/02/2020;41500;4226
363;363;21/02/2020;220000;4226
368;368;03/03/2020;226750;4088
369;369;03/03/2020;81860;4094
370;370;03/03/2020;69450;4112
371;371;02/03/2020;33000;4070
372;372;21/02/2020;83000;4079
374;374;25/02/2020;44000;4039
375;375;15/02/2020;43000;4226
376;376;09/03/2020;101000;4242
377;377;28/02/2020;77000;4112
378;378;06/03/2020;70200;4070
382;382;21/04/2020;70000;4096
383;383;18/03/2020;46890;4070
384;384;26/02/2020;54090;4226
385;385;30/04/2020;43500;4230
386;386;30/04/2020;77400;4209
387;387;05/05/2020;128490;4070
388;388;30/04/2020;130000;4209
389;389;04/05/2020;87000;4112
390;390;24/04/2020;155000;4049
392;392;07/05/2020;51400;4006
393;393;12/05/2020;35000;4070
394;394;15/04/2020;110000;4226
395;395;18/05/2020;64500;4088
396;396;15/05/2020;86000;4049
397;397;15/05/2020;45000;4244
398;398;19/05/2020;87000;4019
399;399;12/05/2020;111300;4088
400;400;13/05/2020;230000;4197
402;402;27/05/2020;105000;4088
403;403;13/05/2020;28500;4112
404;404;28/05/2020;27000;4006
405;405;26/05/2020;113000;4088
406;406;30/04/2020;48700;4019
408;408;07/05/2020;29500;4070
410;410;29/05/2020;55500;4019
411;411;14/05/2020;142500;4178
414;414;26/05/2020;64050;4112
415;415;29/05/2020;60000;4226
416;416;29/05/2020;45710;4073
417;417;29/05/2020;55500;4073
418;418;30/05/2020;35500;4073
420;420;26/05/2020;25650;4019
422;422;20/05/2020;61000;4112
424;424;03/06/2020;30500;4039
425;425;28/05/2020;80000;4096
426;426;20/05/2020;28350;4226
428;428;25/01/2020;57950;4226
429;429;16/06/2020;55000;4189
430;430;29/05/2020;63000;4070
431;431;03/06/2020;62000;4070
432;432;10/06/2020;134300;4112
434;434;12/06/2020;130000;4019
436;436;11/06/2020;272000;4230
438;438;15/06/2020;75000;4094
439;439;03/06/2020;206000;4143
440;440;13/06/2020;83000;4094
442;442;18/06/2020;300000;4112
443;443;06/06/2020;33000;4205
444;444;26/06/2020;57500;4070
445;445;05/06/2020;63000;4189
446;446;26/06/2020;25000;4070
447;447;10/06/2020;225500;4242
449;449;23/06/2020;135000;4226
450;450;11/06/2020;95000;4112
451;451;17/06/2020;64000;4226
452;452;30/06/2020;135000;4079
453;453;30/06/2020;90000;4209
457;457;12/02/2020;NULL;5177
458;458;16/01/2020;310000;5046
460;460;22/01/2020;150000;5177
463;463;12/02/2020;230000;5177
