Id_bien;No_voie;Type de voie;Voie;Surface Carrez ;Type local;Nombre pieces principales;Id_codedep_codecommune
18673;433;RUE;AMBROISE PARE;106.1;Maison;4;78311
238;3;RUE;ROGER SALENGRO;77.56;Appartement;5;2810
239;18;RUE;DU CHAMP BOUILLANT;49.33;Appartement;2;2722
240;3;RUE;DE LA RESISTANCE;47.02;Appartement;3;2722
241;14;RUE;PORTE CROUY;37.18;Appartement;2;2722
18676;433;RUE;AMBROISE PARE;95.05;Maison;4;78311
26668;1;VLA;AMELIE;76;Maison;3;94037
244;2;RUE;DE BAPAUME;81.62;Appartement;4;2810
245;10;PL;DE LAON;41.42;Appartement;1;2722
246;1B;RUE;DES GRAVIERS;62.15;Appartement;3;2722
247;15B;RUE;DU CHAMP BOUILLANT;59.81;Appartement;4;2722
248;20;RUE;NOTRE DAME;20.45;Appartement;1;2722
249;17;RUE;ALEXANDRE DUMAS;89.56;Appartement;3;2810
220;21;RUE;AMPERE;88.14;Maison;4;2408
251;5;PL;DU DOCTEUR MOUFLIER;21.4;Appartement;1;2810
252;2B;BD;EDOUARD BRANLY;49.46;Appartement;2;2722
253;2B;BD;EDOUARD BRANLY;45.12;Appartement;2;2722
254;4;PL;DE LAON;68.95;Appartement;3;2722
255;16;RUE;D OULCHY LE CHATEAU;76.95;Appartement;3;2064
256;12;AV;THIERS;72.93;Appartement;2;2722
257;4;RUE;JEAN MOULIN;65.9;Appartement;3;2722
258;3B;RUE;PORTE CROUY;31.84;Appartement;2;2722
259;5;PL;DU DOCTEUR MOUFLIER;20.69;Appartement;1;2810
260;30;AV;DU GENERAL DE GAULLE;29.36;Appartement;1;2722
261;9;RUE;VICTOR HUGO;67.85;Appartement;3;2810
262;41;RUE;DU GRAND MONTOIR;51.07;Appartement;3;2810
263;7;RUE;DE PANLEU;29.21;Appartement;1;2722
264;30;AV;DU GENERAL DE GAULLE;23.7;Appartement;1;2722
265;10;PL;DE LAON;73.94;Appartement;3;2722
15202;13;RUE;AMPERE;134.1;Maison;4;69063
267;2B;BD;EDOUARD BRANLY;68.37;Appartement;3;2722
268;2B;BD;EDOUARD BRANLY;73.65;Appartement;3;2722
269;22;BD;JEANNE D ARC;31.62;Appartement;1;2722
270;12;AV;DE LA MARE AUX CANES;60.2;Appartement;3;2168
271;3;PL;DE L HOTEL DE VILLE;48.5;Appartement;3;2168
272;50;GR;GRANDE RUE;57.74;Appartement;3;2168
273;1;RES;RENOIR;78.24;Appartement;4;2168
274;2;RUE;PAUL CLAUDEL;64.24;Appartement;3;2305
275;22;RUE;DE LA FRATERNITE;34.46;Appartement;2;3190
276;2;RUE;DENAIN;124.01;Appartement;3;3190
277;22;RUE;DE LA FRATERNITE;34.9;Appartement;1;3190
278;22;RUE;DE LA FRATERNITE;22.19;Appartement;1;3190
279;14;RUE;CHARLES PEGUY;83.87;Appartement;4;3190
21796;20;RUE;AMPERE;89;Maison;4;91045
281;11;RUE;DU VERT GALANT;61.4;Appartement;4;3190
24766;89;RUE;ANATOLE FRANCE;156.11;Maison;7;92019
283;84;RTE;DE LYON;58.46;Appartement;3;3321
284;3;RUE;JACQUES VINCENT;40.06;Appartement;2;3321
285;24;RUE;GASPARD ROUX;78.3;Appartement;4;3190
286;1B;AV;DU DRAPEAU;106;Appartement;5;3095
287;71;RUE;JEAN JAURES;74.54;Appartement;3;3310
288;2;RUE;MONTIGNAC;81.72;Appartement;3;3310
289;2;RUE;DU 11 NOVEMBRE;67.64;Appartement;4;3310
290;10;RUE;DUCHON;42.98;Appartement;2;3310
291;4;RUE;HUBERT COLOMBIER;40.57;Appartement;2;3310
292;9003;PL;DE L HORLOGE;105.71;Appartement;4;4209
293;7102;PL;DE L ENGIEN;106.43;Appartement;4;4166
294;7003;RES;LES MELEZES;29.74;Appartement;1;4073
295;9500;TRA;DU CAMPING;65.4;Appartement;3;4049
296;1;RUE;DES MONGES;144.6;Appartement;4;4070
298;9002;PL;DU DOCTEUR ROBERT;32.89;Appartement;1;4209
300;;PL;DES AIRES;93.76;Appartement;4;4039
301;7078;RTE;DE MAZAGRAND;20.73;Appartement;1;4096
303;6;RUE;GRANDE;40;Appartement;3;4205
305;25;AV;FRANCOIS CUZIN;51.42;Appartement;2;4070
27122;17;RUE;ANATOLE FRANCE;73.11;Maison;3;94074
310;24;LOT;LOTISSEMENT DU BERARD;60.66;Appartement;3;4086
311;7052;RES;LES CHENEVRIERS;24.32;Appartement;1;4073
312;12;CHE;DES ALPAGES;23.02;Appartement;1;4019
313;25;RUE;PRINCIPALE;59.73;Appartement;2;4096
314;7300;CHE;DES BEAUMES;33.05;Appartement;2;4094
315;39;BD;VICTOR HUGO;23.25;Appartement;1;4070
316;9482;RES;LE VALLON DES SOURCES;30.47;Appartement;2;4070
317;32;BD;VICTOR HUGO;28.33;Appartement;1;4070
17851;15;IMP;ANCIENNE LAITERIE;63.4;Maison;3;77325
321;2B;IMP;DE CARUPE;142.9;Appartement;5;4145
323;5112;RES;LES MARGUERITES;26.76;Appartement;1;4073
324;4;PL;DE LA MAIRIE;53.1;Appartement;2;4070
329;3;PL;DE LA REPUBLIQUE;79.54;Appartement;3;4209
330;53;RUE;DELEUZE;72.07;Appartement;2;4209
26435;7;RUE;ANDRE BOLLIER;107.18;Maison;5;94068
334;5;AV;MARCEL ANDRE;33.8;Appartement;2;4088
336;320;AV;DU DCT BERNARD FOUSSIER;15;Appartement;4;4112
337;6;RUE;ANDRE HONNORAT;58.96;Appartement;3;4019
338;155;RUE;DOC CASIMIR CAIRE;42.73;Appartement;2;4088
339;5637A;AV;DES THERMES;25.32;Appartement;1;4094
341;3;RUE;TANNERIE;38.97;Appartement;2;4166
